lowerIncisor_cam1_X,lowerIncisor_cam1_Y,lowerIncisor_cam2_X,lowerIncisor_cam2_Y,lowerJawAnt_cam1_X,lowerJawAnt_cam1_Y,lowerJawAnt_cam2_X,lowerJawAnt_cam2_Y,LowerRtCanine_cam1_X,LowerRtCanine_cam1_Y,LowerRtCanine_cam2_X,LowerRtCanine_cam2_Y,LowerLeftJaw_cam1_X,LowerLeftJaw_cam1_Y,LowerLeftJaw_cam2_X,LowerLeftJaw_cam2_Y,LowerLeftMolar_cam1_X,LowerLeftMolar_cam1_Y,LowerLeftMolar_cam2_X,LowerLeftMolar_cam2_Y,SkullIncisor_cam1_X,SkullIncisor_cam1_Y,SkullIncisor_cam2_X,SkullIncisor_cam2_Y,SkullLeftNasal_cam1_X,SkullLeftNasal_cam1_Y,SkullLeftNasal_cam2_X,SkullLeftNasal_cam2_Y,SkullRtNasal_cam1_X,SkullRtNasal_cam1_Y,SkullRtNasal_cam2_X,SkullRtNasal_cam2_Y,SkullLeftCanine_cam1_X,SkullLeftCanine_cam1_Y,SkullLeftCanine_cam2_X,SkullLeftCanine_cam2_Y,SkullRtCanine_cam1_X,SkullRtCanine_cam1_Y,SkullRtCanine_cam2_X,SkullRtCanine_cam2_Y
652,632,638,302,687,564,681.5,367,651.5,483,647.5,456,645,450,770,482,610,468.5,719.214,470.786,586,668,615,277,490,535,574,426,522,506,545,453,574,469,692,475.5,627,453.5,624,491
651,631.5,637,303,685.5,564,680,367,650.625,483,647,456.5,644.5,450,769.5,482,609,468,718.5,471,586.5,668,615,277,491,535,574,426,522.5,505.5,545,453,574.375,469,692.5,475.5,627,453,624.5,490.5
650.375,631,635,303,685,564,679,367,650,483,646,457,644,450,769,482,609,468.5,717.5,471,587,668,615,277,491.375,535,574.5,426.5,522.5,505.5,544.5,452.5,575,469,692,475,628,453,624,491
648.375,631,633.5,303.5,683.375,564,677,368,649,482.5,644.786,457.214,643.375,450,767,482,608,468.5,716,471,587.5,668.5,615,276.5,492,535,574,426,524,506,544.5,452.5,575.5,469.5,692,475,629,453,624.625,491
645.214,630.214,630.5,305,680.375,564,674.5,368.5,647,482,643,458,641.5,450,765,483,606.5,468,714.5,472.5,589,668.5,615,276.5,493,535.5,574,426,524.5,506,545,452.5,576,469.5,692,475,629.214,453.214,625,490.5
643,630,628,305.375,678.375,564,672.5,368.5,645,482,641.5,458.5,640,450,764,483,605,467.5,713.375,473,589,668.375,615,276,493.5,536,574,425.5,525,506,545,452.5,576.5,469.5,692.5,474.5,630,453.5,624.5,490.5
642,630,627.5,305.5,677.5,564,672,368.5,644.786,482.214,640.5,458.5,639.375,450,763.375,483,604.214,467.214,712.625,473,589,669,614,276,494,536,573.5,425.5,525,506,544.5,452.5,577,469.625,692,474.5,630,453.375,624,490
641,630,626,306,676.5,564.5,671,369,644,481.625,640,458.625,639,450.5,762.5,482.5,603.5,468,712,473,589,668.5,613.5,276.5,493.5,536,573,425.5,525,506,544,452.5,577,470,691.5,474.5,630,453.5,624.5,490.5
640.5,630,625,306,677,564,670,368.5,644,482,639,459,638.625,450,762,482.5,603,467.625,711,473,589,668.5,613,275.625,493.5,536,573,425.375,525,506,544,452.5,576.5,470,691,474.5,630,454,623.625,490
640,630,624.375,306,676,564.375,669,369,644,482,638,458.5,638.5,451,761.5,482.5,603,468,710.5,472.5,589,669,612.5,275.5,493.5,536,572,425.375,525,506,543,452.5,576.625,470,690.5,474.5,630,454,623,490
639,630,623.5,306.5,675.375,564,669,369,643.5,482,638,459,638.214,450.786,761,482.5,602.5,468,709.375,473,589,669,612,275.5,493.5,536,572,425,525,506.5,543,452.5,577,470.625,690.5,474,630,454,623.5,489.5
638,630,622.5,307,674.625,564,668,369,643,482,637,459,637.5,450.5,760,482,602,468,709,473,588.5,669,611.5,275.5,494,536,571.5,425,525,506,542.5,452.5,576.5,471,690,474,630,454,623,490
637,629,621,308,673,564,666.786,369.214,642.375,482,636.5,459.5,636.5,450.5,759,482.5,601.5,467.5,709,473,589,669,612,275,494,536.5,571.5,425,526,506.5,542.5,452.5,577,470.625,690,473.625,630,454,623,489.5
634.5,628.5,618,309,671,563.5,663.5,370.5,640.2,481,634.5,461,634.8,449.9,757.5,483,599.625,467,707.214,474.214,590,670,612.5,275,494,537,572,425,526.5,506.5,543,452,577.5,471,691,473.5,631,455,624,489
633,628,616,310,670,563,662,371,639.214,480.786,633,461,633.7,450.1,756,483,599,466.5,705.5,474.5,590,669.625,613,274.625,495,537,572,424.5,526.5,507,543,451.5,577.5,471,690.5,473,631.8,454.5,624,489
632,627.5,615,310,669,563,661,371,639,480,632.625,462,634.1,450.4,755.5,483.5,598,466.5,705,475,590.5,669.5,612.5,274,495,537,571.5,424.5,526.5,507.5,543,451,577.5,471.5,690.5,472.5,632.6,455.1,624,488.5
632,627,614.501,310.401,669,562.5,660.625,371,638.5,479.5,632,462,633.5,450.5,755,483,598,466.5,704,475,590,670,612,274.5,495,537,572,424.5,526.5,507.5,543,451.5,577.5,471.5,690.5,473,631.7,455.1,624,489
631.5,627,613.5,310.5,669,562.625,660,371,638,480,632,462,633.4,451,755,483.5,598,467,703.5,474.5,590,670,612,274,495,537,572,424,526.5,507.5,543,451,578,472,690,473,631.4,455.6,623.625,489
631.5,627,613.5,311,668.5,562.5,659.5,372,638.5,480,631.5,462,632.3,450.5,754,483.375,598,466.375,703.5,475,590,670,612,274,495.5,537.5,571.5,424,527,507,543,451,578.5,472,690,473,632,455.3,623.5,488.5
631.5,627,613,311,668.5,563,659.5,372,638.375,480,631,462,632.2,450.5,754,483.5,598,466.5,703,475,590,670,612,274,495,537,571.5,424.5,527,507,543,451,578,472,690,473,631.1,455.6,623,489
631.5,627,613,310.625,669,563,659.5,372,638,479.5,631,462,633.2,450.6,754,483,598,466.5,703,475,590,670,612,274,495,537,571,424,527,507,543,451,578.5,471.5,690,472.5,632.5,455.1,623.5,488.5
631.625,627,613,311,668.5,562.5,659.5,372,638.5,479.5,631,462,633.4,450.4,754,483.5,598,466,703,475,590.5,670,612,274,495.5,537,571,424,527,507,543,451,578.375,472,690,472.5,633,455.1,623,488.5
632,627,613,311,669,562.5,659,372,638.5,479.5,631,462,633,450.2,754,484,598,466.5,703.5,475.5,591,670,612,274,495.5,537,571,424,527.5,507,542.5,451,578,472,690,473,631.9,454.3,623,489
632,627,613.5,311,669,562.5,659.5,372,638.5,480,631,462,633.7,450.7,754.5,483.5,598.375,466,704,475,591,670,611.5,274,496,537,571,424,528,507,542,451,578.5,472,690,473,632.5,455.1,623,489
632,627,613.5,311,669,562,659.5,372,638.5,480,631.5,462,634.04,450.437,755,483.5,598.5,466.5,704,475,591,670,611.5,274,496,537,570.5,423.5,528,507,542,451,579,472,690,472.5,632,454.9,623,489
